Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,105.050003,105.550003,104.129997,104.519997,91.743134,5753600
2015-01-05,104.480003,104.730003,103.680000,103.790001,91.102386,8079300
2015-01-06,104.339996,104.989998,102.940002,103.279999,90.654724,7428000
2015-01-07,103.910004,105.830002,103.809998,105.559998,92.656021,7931700
2015-01-08,106.059998,106.489998,105.750000,106.389999,93.384560,9916000
2015-01-09,106.500000,106.500000,104.750000,104.940002,92.111816,7364800
2015-01-12,105.169998,105.820000,104.300003,104.580002,91.795830,6839000
2015-01-13,105.440002,106.330002,104.239998,104.760002,91.953827,10151100
2015-01-14,103.860001,104.430000,103.510002,104.000000,91.286720,8887700
2015-01-15,102.970001,103.930000,101.949997,102.489998,89.961311,10834800
2015-01-16,102.059998,104.620003,102.000000,104.040001,91.321846,14092300
2015-01-20,101.550003,102.050003,100.260002,101.290001,88.907990,20460000
2015-01-21,100.559998,102.099998,100.400002,101.900002,89.443413,11702900
2015-01-22,102.389999,103.830002,101.570000,103.760002,91.076073,9036600
2015-01-23,102.940002,102.970001,101.940002,102.199997,89.706749,10126000
2015-01-26,101.800003,102.449997,101.209999,102.260002,89.759422,8962800
2015-01-27,101.830002,102.769997,100.930000,102.089996,89.610191,10160500
2015-01-28,102.480003,102.930000,101.440002,101.480003,89.074776,9053200
2015-01-29,101.510002,102.459999,100.669998,102.379997,89.864754,7569300
2015-01-30,101.580002,102.000000,100.089996,100.139999,87.898575,10676300
2015-02-02,100.489998,100.849998,99.379997,100.830002,88.504242,8990700
2015-02-03,101.400002,102.559998,101.120003,102.459999,89.934959,10005200
2015-02-04,102.120003,102.449997,101.019997,101.360001,88.969437,9514100
2015-02-05,101.570000,102.559998,101.459999,102.459999,89.934959,6642200
2015-02-06,102.110001,102.449997,100.830002,101.099998,88.741234,9215700
2015-02-09,101.059998,101.059998,99.099998,99.779999,87.582581,9851700
2015-02-10,100.190002,100.699997,99.430000,100.349998,88.082916,12275500
2015-02-11,100.459999,100.790001,99.949997,100.379997,88.109230,8177000
2015-02-12,100.500000,100.540001,97.150002,98.440002,86.406387,25835200
2015-02-13,98.440002,99.669998,98.330002,99.620003,87.442139,11153600
2015-02-17,99.389999,100.480003,99.120003,100.440002,88.161903,8627100
2015-02-18,100.699997,100.940002,99.379997,99.959999,87.740562,7878200
2015-02-19,99.949997,100.839996,99.610001,100.699997,88.390129,10028200
2015-02-20,100.180000,100.370003,99.110001,100.260002,88.619942,10085700
2015-02-23,100.739998,100.769997,99.800003,100.180000,88.549210,6878200
2015-02-24,100.250000,101.050003,100.000000,100.699997,89.008835,6587200
2015-02-25,100.940002,101.290001,100.160004,101.209999,89.459633,9684000
2015-02-26,101.379997,103.180000,101.220001,102.800003,90.865036,11437900
2015-02-27,103.040001,103.330002,102.480003,102.510002,90.608719,8500000
2015-03-02,102.510002,103.410004,102.510002,103.220001,91.236275,7277600
2015-03-03,103.099998,103.099998,101.809998,102.339996,90.458435,6419700
2015-03-04,102.120003,102.120003,101.169998,101.650002,89.848557,8665500
2015-03-05,102.070000,103.209999,102.000000,102.519997,90.617538,8042300
2015-03-06,102.089996,102.430000,99.879997,100.110001,88.487358,9287600
2015-03-09,100.199997,100.919998,99.760002,100.660004,88.973503,5701100
2015-03-10,99.989998,100.440002,99.510002,99.529999,87.974670,8735700
2015-03-11,99.830002,99.830002,98.220001,98.320000,86.905167,9138100
2015-03-12,98.959999,100.239998,98.830002,99.830002,88.239853,8318000
2015-03-13,99.849998,100.050003,98.639999,99.209999,87.691833,7821800
2015-03-16,99.739998,101.070000,99.739998,101.059998,89.327072,7726500
2015-03-17,100.110001,100.519997,99.410004,99.889999,88.292892,7301500
2015-03-18,99.889999,101.739998,99.129997,101.459999,89.680626,7972500
2015-03-19,101.040001,101.959999,100.910004,101.690002,89.883911,6863100
2015-03-20,101.870003,102.900002,101.760002,102.400002,90.511490,12433800
2015-03-23,102.470001,103.349998,102.230003,102.980003,91.024155,9016000
2015-03-24,102.830002,103.230003,101.930000,101.959999,90.122574,8390700
2015-03-25,101.849998,102.500000,100.339996,100.339996,88.690643,8444100
2015-03-26,99.949997,100.809998,99.559998,100.139999,88.513863,9972400
2015-03-27,100.279999,100.949997,100.150002,100.339996,88.690643,5847400
2015-03-30,101.239998,101.860001,100.760002,101.550003,89.760170,6061200
2015-03-31,100.970001,101.489998,100.589996,100.599998,88.920471,8028000
2015-04-01,100.459999,100.459999,98.610001,99.150002,87.638809,11368100
2015-04-02,99.440002,99.989998,98.889999,99.639999,88.071922,6097100
2015-04-06,98.839996,99.559998,98.040001,99.160004,87.647652,9697600
2015-04-07,99.550003,100.870003,99.430000,100.099998,88.478500,7900300
